symbol,side,order_type,time_in_force,original_quantity,price,average_price,order_status,order_last_filled_quantity,order_last_accumulated_quantity,order_trade_time,usd_size
DOGEUSDC,SELL,LIMIT,IOC,965421,0.222290,0.224155,FILLED,9824,965421,1756103596273,214603.43409
XLM,SELL,LIMIT,IOC,7591,0.39441,0.39834,FILLED,3910,7591,1756103596345,2993.96631
MOODENG,SELL,LIMIT,IOC,84,0.1463100,0.1477564,FILLED,30,84,1756103596356,12.29004
UNI,SELL,LIMIT,IOC,89,10.4910,10.5530,FILLED,68,89,1756103596451,933.699
SUI,SELL,LIMIT,IOC,6.9,3.532500,3.567800,FILLED,6.9,6.9,1756103596459,24.374250000000004
USUAL,SELL,LIMIT,IOC,164,0.0691400,0.0698100,FILLED,42,164,1756103596492,11.338959999999998
DOGE,SELL,LIMIT,IOC,5658,0.222780,0.224170,FILLED,4352,5658,1756103596573,1260.48924
WIF,SELL,LIMIT,IOC,15.0,0.8500000,0.8587000,FILLED,15.0,15.0,1756103597098,12.75
XRP,SELL,LIMIT,IOC,4967.1,2.9532,2.9679,FILLED,1552.3,4967.1,1756103597121,14668.83972
SSV,SELL,LIMIT,IOC,73.74,9.200000,9.288908,FILLED,6.72,73.74,1756103597235,678.4079999999999
SEI,SELL,LIMIT,IOC,69,0.2985000,0.3015000,FILLED,69,69,1756103597379,20.5965
IMX,SELL,LIMIT,IOC,38,0.5578,0.5634,FILLED,38,38,1756103597379,21.196399999999997
TIA,SELL,LIMIT,IOC,11,1.7413000,1.7586000,FILLED,11,11,1756103597379,19.1543
SNX,SELL,LIMIT,IOC,29.5,0.669,0.676,FILLED,29.5,29.5,1756103597379,19.735500000000002
NEAR,SELL,LIMIT,IOC,8,2.5490,2.5740,FILLED,8,8,1756103597379,20.392
MOVR,SELL,LIMIT,IOC,2.99,6.358000,6.450000,FILLED,2.99,2.99,1756103597379,19.01042
RUNE,SELL,LIMIT,IOC,16,1.2920,1.3050,FILLED,16,16,1756103597379,20.672
APT,SELL,LIMIT,IOC,4.3,4.48190,4.52720,FILLED,4.3,4.3,1756103597379,19.272170000000003
ALPHA,SELL,LIMIT,IOC,1314,0.01413,0.01443,FILLED,1314,1314,1756103597379,18.56682
RENDER,SELL,LIMIT,IOC,5.5,3.6290000,3.6650000,FILLED,1.4,5.5,1756103597379,19.9595
XLM,SELL,LIMIT,IOC,50,0.39437,0.39835,FILLED,50,50,1756103597379,19.7185
DOT,SELL,LIMIT,IOC,4.9,3.980,4.005,FILLED,4.9,4.9,1756103597379,19.502000000000002
TON,SELL,LIMIT,IOC,6.1,3.2374000,3.2692000,FILLED,6.1,6.1,1756103597379,19.74814
ADA,SELL,LIMIT,IOC,23,0.88450,0.88900,FILLED,23,23,1756103597379,20.3435
